date, num_pixels, build_time, runtime, num_triangles, num_spheres, num_boxes, %_miss, kdtree_max_depth, kdtree_leaves
Sun May  5 11:51:22 2019, 1000000, 8.93, 76.73, 69451, 0, 0, 75.48, 20, 119995
Sun May  5 11:54:06 2019, 1000000, 8.90, 76.72, 69451, 0, 0, 75.48, 20, 119995
Sun May  5 11:55:52 2019, 1000000, 8.93, 76.76, 69451, 0, 0, 75.48, 20, 119995
Sun May  5 11:57:52 2019, 1000000, 3.88, 69.82, 16301, 0, 0, 75.61, 20, 84993
Sun May  5 11:59:15 2019, 1000000, 4.12, 69.81, 16301, 0, 0, 75.61, 20, 84993
Sun May  5 12:00:43 2019, 1000000, 4.01, 69.70, 16301, 0, 0, 75.61, 20, 84993
Sun May  5 12:02:12 2019, 1000000, 1.58, 58.99, 3851, 0, 0, 76.00, 20, 40812
Sun May  5 12:03:18 2019, 1000000, 1.79, 59.20, 3851, 0, 0, 76.00, 20, 40812
Sun May  5 12:04:29 2019, 1000000, 1.67, 58.68, 3851, 0, 0, 76.00, 20, 40812
Sun May  5 12:05:37 2019, 1000000, 0.89, 45.93, 948, 0, 0, 76.88, 20, 23239
Sun May  5 12:06:51 2019, 1000000, 0.82, 46.60, 948, 0, 0, 76.88, 20, 23239
Sun May  5 12:08:40 2019, 1000000, 0.82, 46.03, 948, 0, 0, 76.88, 20, 23239
