date, num_pixels, build_time, runtime, num_triangles, num_spheres, num_boxes, %_miss, kdtree_max_depth, kdtree_leaves
Sun May  5 13:28:29 2019, 1000000, 59.49, 133.82, 871414, 0, 0, 70.71, 20, 162258
Sun May  5 13:33:43 2019, 1000000, 59.17, 133.26, 871414, 0, 0, 70.71, 20, 162258
Sun May  5 13:38:15 2019, 1000000, 59.25, 132.99, 871414, 0, 0, 70.71, 20, 162258
Sun May  5 13:41:06 2019, 1000000, 19.94, 108.94, 202520, 0, 0, 70.77, 20, 163473
Sun May  5 13:44:12 2019, 1000000, 19.70, 108.88, 202520, 0, 0, 70.77, 20, 163473
Sun May  5 13:47:34 2019, 1000000, 19.73, 108.75, 202520, 0, 0, 70.77, 20, 163473
Sun May  5 13:50:18 2019, 1000000, 8.61, 99.90, 47794, 0, 0, 71.00, 20, 150332
Sun May  5 13:52:45 2019, 1000000, 8.58, 100.17, 47794, 0, 0, 71.00, 20, 150332
Sun May  5 13:54:45 2019, 1000000, 8.59, 100.62, 47794, 0, 0, 71.00, 20, 150332
Sun May  5 13:59:25 2019, 1000000, 3.75, 87.81, 11102, 0, 0, 71.67, 20, 89432
Sun May  5 14:01:47 2019, 1000000, 3.77, 87.46, 11102, 0, 0, 71.67, 20, 89432
Sun May  5 14:03:32 2019, 1000000, 3.75, 87.71, 11102, 0, 0, 71.67, 20, 89432
