date, num_pixels, build_time, runtime, num_triangles, num_spheres, num_boxes, %_miss, kdtree_max_depth, kdtree_leaves
Mon May  6 19:29:15 2019, 10000, 0.00, 166.02, 69451, 0, 0, 75.51, 0, 2
Mon May  6 19:35:41 2019, 10000, 0.00, 167.22, 69451, 0, 0, 75.51, 0, 2
Mon May  6 19:38:44 2019, 10000, 0.00, 166.26, 69451, 0, 0, 75.51, 0, 2
Mon May  6 19:39:34 2019, 10000, 0.00, 38.03, 16301, 0, 0, 75.68, 0, 2
Mon May  6 19:40:27 2019, 10000, 0.00, 38.21, 16301, 0, 0, 75.68, 0, 2
Mon May  6 19:41:40 2019, 10000, 0.00, 38.42, 16301, 0, 0, 75.68, 0, 2
Mon May  6 19:42:06 2019, 10000, 0.00, 8.93, 3851, 0, 0, 75.99, 0, 2
Mon May  6 19:42:18 2019, 10000, 0.00, 8.98, 3851, 0, 0, 75.99, 0, 2
Mon May  6 19:42:33 2019, 10000, 0.00, 8.98, 3851, 0, 0, 75.99, 0, 2
Mon May  6 19:42:49 2019, 10000, 0.00, 2.24, 948, 0, 0, 76.82, 0, 2
Mon May  6 19:42:54 2019, 10000, 0.00, 2.26, 948, 0, 0, 76.82, 0, 2
Mon May  6 19:43:08 2019, 10000, 0.00, 2.30, 948, 0, 0, 76.82, 0, 2
