date, num_pixels, build_time, runtime, num_triangles, num_spheres, num_boxes, %_miss, kdtree_max_depth, kdtree_leaves
Tue May  7 14:40:32 2019, 10000, 0.00, 163.31, 69451, 0, 0, 75.51, 0, 2
Tue May  7 14:42:53 2019, 10000, 0.18, 106.34, 69451, 0, 0, 75.51, 1, 4
Tue May  7 14:44:24 2019, 10000, 0.55, 42.34, 69451, 0, 0, 75.51, 3, 16
Tue May  7 14:45:19 2019, 10000, 0.74, 26.96, 69451, 0, 0, 75.51, 4, 32
Tue May  7 14:46:37 2019, 10000, 0.93, 16.69, 69451, 0, 0, 75.51, 5, 61
Tue May  7 14:47:17 2019, 10000, 1.12, 11.14, 69451, 0, 0, 75.51, 6, 108
Tue May  7 14:47:44 2019, 10000, 1.32, 7.66, 69451, 0, 0, 75.51, 7, 194
Tue May  7 14:48:20 2019, 10000, 1.53, 4.73, 69451, 0, 0, 75.51, 8, 337
Tue May  7 14:48:40 2019, 10000, 1.75, 3.26, 69451, 0, 0, 75.51, 9, 563
Tue May  7 14:49:09 2019, 10000, 1.97, 2.38, 69451, 0, 0, 75.51, 10, 964
Tue May  7 14:49:37 2019, 10000, 2.22, 1.64, 69451, 0, 0, 75.51, 11, 1607
Tue May  7 14:50:16 2019, 10000, 2.50, 1.27, 69451, 0, 0, 75.51, 12, 2595
Tue May  7 14:50:43 2019, 10000, 2.81, 1.09, 69451, 0, 0, 75.51, 13, 4266
Tue May  7 14:51:11 2019, 10000, 3.19, 0.89, 69451, 0, 0, 75.51, 14, 7018
Tue May  7 14:51:49 2019, 10000, 3.65, 0.82, 69451, 0, 0, 75.51, 15, 11238
Tue May  7 14:52:09 2019, 10000, 4.20, 0.78, 69451, 0, 0, 75.51, 16, 18399
Tue May  7 14:52:34 2019, 10000, 4.92, 0.78, 69451, 0, 0, 75.51, 17, 29845
Tue May  7 14:53:00 2019, 10000, 5.90, 0.77, 69451, 0, 0, 75.51, 18, 47541
Tue May  7 14:53:23 2019, 10000, 7.15, 0.81, 69451, 0, 0, 75.51, 19, 76406
Tue May  7 14:53:48 2019, 10000, 8.86, 0.82, 69451, 0, 0, 75.51, 20, 119995
Tue May  7 14:54:17 2019, 10000, 11.03, 0.85, 69451, 0, 0, 75.51, 21, 182104
Tue May  7 14:54:44 2019, 10000, 13.75, 0.97, 69451, 0, 0, 75.51, 22, 261896
Tue May  7 14:55:19 2019, 10000, 16.44, 0.91, 69451, 0, 0, 75.51, 23, 346552
Tue May  7 14:55:57 2019, 10000, 19.12, 0.92, 69451, 0, 0, 75.51, 24, 432285
Tue May  7 14:56:33 2019, 10000, 21.75, 0.94, 69451, 0, 0, 75.51, 25, 514157
Tue May  7 14:57:20 2019, 10000, 24.05, 0.94, 69451, 0, 0, 75.51, 26, 591268
Tue May  7 14:58:20 2019, 10000, 26.51, 0.93, 69451, 0, 0, 75.51, 27, 669366
Tue May  7 14:59:10 2019, 10000, 28.90, 0.95, 69451, 0, 0, 75.51, 28, 746969
Tue May  7 15:00:05 2019, 10000, 31.23, 0.94, 69451, 0, 0, 75.51, 29, 824445
Tue May  7 15:01:00 2019, 10000, 33.68, 0.97, 69451, 0, 0, 75.51, 30, 904993
Sat May 11 15:54:01 2019, 10000, 1.74, 0.11, 8, 0, 0, 98.08, 30, 52728
Sat May 11 15:54:19 2019, 10000, 1.69, 0.43, 8, 0, 0, 37.36, 30, 52728
Sat May 11 15:55:39 2019, 1000000, 1.63, 17.53, 8, 0, 0, 69.42, 30, 52728
Sat May 11 15:56:22 2019, 1000000, 1.73, 22.04, 8, 0, 0, 62.56, 30, 52728
Sat May 11 15:56:38 2019, 10000, 1.66, 0.22, 8, 0, 0, 62.57, 30, 52728
Sat May 11 15:56:52 2019, 10000, 1.61, 0.16, 8, 0, 0, 78.75, 30, 52728
Sat May 11 15:57:07 2019, 10000, 1.64, 0.16, 8, 0, 0, 78.75, 30, 52728
Sat May 11 15:57:19 2019, 10000, 1.65, 0.16, 8, 0, 0, 78.75, 30, 52728
Sat May 11 15:57:33 2019, 10000, 1.63, 0.16, 8, 0, 0, 78.75, 30, 52728
Sat May 11 15:57:49 2019, 10000, 1.63, 0.17, 8, 0, 0, 78.75, 30, 52728
Sat May 11 15:58:04 2019, 10000, 1.61, 0.16, 8, 0, 0, 78.75, 30, 52728
Sat May 11 15:58:18 2019, 10000, 1.66, 0.15, 8, 0, 0, 78.75, 30, 52728
Sat May 11 15:58:30 2019, 10000, 1.63, 0.17, 8, 0, 0, 78.75, 30, 52728
